train/explained_variance,parameters/mlp_extractor.policy_net.2.bias,_runtime,time/fps,gradients/action_net.bias,train/policy_gradient_loss,sr2l/update_counter,parameters/mlp_extractor.policy_net.2.weight,parameters/action_net.bias,train/clip_range,gradients/mlp_extractor.value_net.2.bias,train/clip_fraction,global_step,robot/x_position,gradients/log_std,gradients/value_net.weight,parameters/action_net.weight,_timestamp,gradients/mlp_extractor.value_net.0.weight,sr2l/current_lambda,gradients/mlp_extractor.policy_net.0.weight,parameters/mlp_extractor.value_net.2.weight,parameters/mlp_extractor.value_net.0.weight,parameters/log_std,gradients/mlp_extractor.value_net.0.bias,rollout/ep_rew_mean,gradients/mlp_extractor.policy_net.2.bias,train/std,train/value_loss,curriculum/current_phase,robot/velocity_ms,sr2l/loss,gradients/action_net.weight,parameters/mlp_extractor.value_net.2.bias,gradients/mlp_extractor.value_net.2.weight,parameters/value_net.weight,gradients/mlp_extractor.policy_net.2.weight,train/entropy_loss,rollout/ep_len_mean,gradients/value_net.bias,sr2l/smoothness_score,parameters/value_net.bias,_step,train/approx_kl,sr2l/perturbation_std,gradients/mlp_extractor.policy_net.0.bias,parameters/mlp_extractor.value_net.0.bias,parameters/mlp_extractor.policy_net.0.bias,train/learning_rate,parameters/mlp_extractor.policy_net.0.weight,sr2l/curriculum_progress,robot/height,robot/total_distance
,,10940.139818071,,,,,,,,,,7383040.0,,,,,1761519064.1919932,,,,,,,,,,,,,,,,,,,,,,,,,82879,,,,,,,,,,0.16295695
,,11015.202796477,,,,,,,,,,7434240.0,,,,,1761519139.9335327,,,,,,,,,,,,,,,,,,,,,,,,,83454,,,,,,,,,,1.9812238
,,11125.299674938,,,,,,,,,,7507968.0,,,,,1761519248.6004577,,,,,,,,,,,,,,,,,,,,,,,,,84290,,0.01,,,,,,,,
,,11155.33359578,,,,,,,0.15,,,7530496.0,,,,,1761519281.8810036,,,,,,,,,,,,,,,,,,,,,,,,,84549,,,,,,,,,,
,,11185.35900084,,,,,,,,,,7550976.0,,,,,1761519312.0094821,,,,,,,,,,,,,,,,,,,,,,,,,84777,0.01855394,,,,,,,,,
,,11250.410407732,,,,,,,,,,7593984.0,,,,,1761519375.4095573,,,,,,,,,,,,,,,,,,,,,,,,,85256,,0.01,,,,,,,,
,,11260.420024244,,,,,,,,,0.32149252,7602176.0,,,,,1761519387.5872307,,,,,,,,,,,,,,,,,,,,,,,,,85353,,,,,,,,,,
,,11265.422881574,,,,,,,,,,7604224.0,,,,,1761519390.5919719,,,,,,,,,,,,,,,,,,,,,,,,,85380,,,,,,0.0003,,,,
,,11270.426296546,,,,,,,,,,7608320.0,,,,,1761519396.654742,,,,,,,,,,,,,,,,,,,,0.60302067,,,,,85424,,,,,,,,,,
,,11450.57453397,,,,60384.0,,,,,,7731200.0,,,,,1761519577.464244,,,,,,,,,,,,,,,,,,,,,,,,,86799,,,,,,,,,,
,,11530.637584112,,,,,,,,,,7784448.0,,,,,1761519655.992926,,,,,,,,,,,,,-0.015240949,,,,,,,,,,,,87388,,,,,,,,,,
,,11580.680410449,,,,,,,,,,7819264.0,,,,,1761519707.4452477,,,,,,,,,,,,,,,,,,,,,,,,,87777,,,,,,,,,0.064215735,
,,11685.765072736,,,-0.019756714,,,,,,,7890944.0,,,,,1761519813.1409807,,,,,,,,,,,,,,,,,,,,,,,,,88601,,,,,,,,,,
,,11690.767731644,,,,,,,,,,7892992.0,10.528195,,,,1761519816.1185822,,,,,,,,,,,,,,,,,,,,,,,,,88608,,,,,,,,,,
,,11730.803318178,,,,,,,,,,7921664.0,,,,,1761519858.1968927,,,,,,,,,,,,,,,,,,,,,,,,,88928,,,,,,,,,,6.971553
,,11775.840052894,,,,,,,,,,7952384.0,,,,,1761519903.324459,,,,,,,,,,,,,0.036982816,,,,,,,,,,,,89274,,,,,,,,,,
0.9837774,,11860.904022774,,,,,,,,,,8007680.0,,,,,1761519984.7127352,,,,,,,,,,,,,,,,,,,,,,,,,89910,,,,,,,,,,
,,12036.043820291,,,,,,,,,,8126464.0,,,,,1761520159.4338777,,,,,,,,,,,,,,,,,,,,,,,,,91245,,,,,,0.0003,,,,
,,12111.106642001,,,,,,,0.15,,,8177664.0,,,,,1761520234.8451962,,,,,,,,,,,,,,,,,,,,,,,,,91817,,,,,,,,,,
,,12141.132502862,,,,,,,,,,8200192.0,,,,,1761520268.2128212,,1.28096e-05,,,,,,,,,,,,,,,,,,,,,,,92061,,,,,,,,,,
